subject;index;acceptability;condition;idnumber
22;56;6;FPS;7
22;58;6;CNS;16
22;64;5;FPS;10
22;66;6;CNS;17
22;72;6;CNA;10
22;78;6;FPA;20
22;84;6;FPS;8
22;86;6;CNA;6
22;92;6;FPA;17
22;94;3;CNS;18
23;16;2;CNA;7
23;20;5;FPS;7
23;30;5;CNS;16
23;32;3;FPA;17
23;36;3;CNA;6
23;40;5;CNS;17
23;42;4;FPS;10
23;48;2;CNS;18
23;52;5;CNA;9
23;58;5;FPS;9
23;68;6;FPA;20
23;70;4;CNA;10
23;74;1;CNS;19
23;78;5;FPS;6
23;80;4;FPS;8
23;82;1;CNS;20
23;92;4;CNA;8
23;94;3;FPA;19
24;20;5;FPA;20
24;22;4;FPS;7
24;24;3;CNA;6
24;26;5;CNS;17
24;32;1;FPA;17
24;36;5;FPS;8
24;44;5;CNA;7
24;46;4;CNS;16
24;48;4;FPS;10
24;54;5;FPA;19
24;58;4;CNA;9
24;60;2;CNS;20
24;64;4;FPA;16
24;66;4;FPS;6
24;70;4;CNA;10
24;74;0;CNS;19
24;80;0;CNS;18
24;84;4;FPS;9
24;88;5;FPA;18
24;92;4;CNA;8
25;22;5;FPA;18
25;26;6;CNS;16
25;30;3;CNA;10
25;34;5;CNS;19
25;38;6;FPS;8
25;40;6;FPA;16
25;46;2;CNA;7
25;48;6;CNA;6
25;54;5;FPA;17
25;60;4;FPS;6
25;72;4;FPA;20
25;74;3;CNA;9
25;78;2;FPS;10
25;82;5;FPS;9
25;84;3;FPA;19
25;92;6;CNA;8
26;18;6;FPS;6
26;22;4;FPA;18
26;28;6;CNS;16
26;32;6;CNA;7
26;34;5;FPA;20
26;44;5;CNS;18
26;46;5;FPS;9
26;48;0;FPA;17
26;58;5;CNA;10
26;60;4;FPS;7
26;62;0;CNS;20
26;64;4;CNS;17
26;66;4;CNA;8
26;74;3;FPS;10
26;78;0;FPA;16
26;86;3;CNA;9
26;90;3;FPA;19
26;92;4;FPS;8
26;94;3;CNS;19
27;16;5;FPS;9
27;18;4;CNS;18
27;22;5;FPA;18
27;30;4;CNA;9
27;32;5;FPS;6
27;34;3;CNS;20
27;36;4;CNA;6
27;44;3;FPA;20
27;52;3;FPA;17
27;54;4;CNA;8
27;60;5;FPS;8
27;62;1;CNS;19
27;64;4;FPS;10
27;68;4;FPA;19
27;70;5;CNA;7
27;78;5;CNS;16
27;80;4;FPA;16
27;82;4;CNS;17
27;90;5;CNA;10
27;92;4;FPS;7
28;16;6;CNA;8
28;18;5;CNS;20
28;26;6;FPS;7
28;30;6;FPA;16
28;34;6;CNS;17
28;36;5;FPS;10
28;40;5;FPA;19
28;44;6;CNA;10
28;52;3;CNS;19
28;56;6;FPS;6
28;60;6;CNA;9
28;62;6;FPA;18
