"subject";"latinsqr";"preg_class";"is_correct";"idnumber"
9578;1;0;1;28
9578;1;0;1;38
9578;1;0;1;27
9578;1;1;1;10
9578;1;1;1;25
9578;1;0;1;3
9578;1;1;1;29
9578;1;1;1;32
9578;1;0;1;39
9578;1;0;1;12
9578;1;1;1;18
9629;1;1;1;31
9629;1;1;1;32
9629;1;0;1;29
9629;1;0;1;38
9629;1;0;1;10
9629;1;1;1;12
9629;1;0;1;39
9629;1;1;1;18
9629;1;1;0;27
9629;1;1;1;25
9629;1;0;1;28
9629;1;0;1;14
9629;1;0;1;3
9787;1;0;1;14
9787;1;0;1;18
9787;1;1;1;31
9787;1;0;1;10
9787;1;0;1;39
9787;1;0;1;27
9787;1;0;1;29
9787;1;1;1;25
9787;1;1;1;32
9787;1;1;1;38
9787;1;0;1;3
9787;1;0;1;12
9787;1;0;1;28
1129;1;1;1;14
1129;1;1;1;31
1129;1;1;1;27
1129;1;1;1;28
1129;1;0;1;12
1129;1;0;1;25
1129;1;1;0;10
1129;1;0;1;32
1129;1;1;1;3
1129;1;0;1;29
1129;1;0;1;39
1129;1;0;1;38
1129;1;1;1;18
1186;1;1;1;29
1186;1;0;1;18
1186;1;0;1;25
1186;1;0;1;3
1186;1;1;1;10
1186;1;0;1;31
1186;1;1;1;14
1186;1;0;1;28
1186;1;0;1;12
1186;1;0;1;32
1186;1;1;1;27
1186;1;1;1;38
1186;1;0;1;39
1576;1;1;1;28
1576;1;1;1;12
1576;1;1;1;31
1576;1;0;1;14
1576;1;1;1;25
1576;1;0;1;27
1576;1;1;1;10
1576;1;0;1;3
1576;1;0;1;32
1576;1;1;1;18
1576;1;1;0;38
1576;1;1;1;39
1576;1;1;1;29
1843;1;0;1;39
1843;1;1;1;25
1843;1;0;1;31
1843;1;1;1;3
1843;1;1;1;18
1843;1;0;1;12
1843;1;0;1;14
1843;1;0;1;29
1843;1;0;1;38
1843;1;1;1;10
1843;1;1;1;27
1843;1;1;1;32
1843;1;0;0;28
2292;1;1;1;12
2292;1;1;1;27
2292;1;0;0;38
2292;1;1;1;18
2292;1;1;1;39
2292;1;0;1;28
2292;1;0;1;3
2292;1;0;1;31
2292;1;1;1;10
2292;1;0;1;29
2292;1;0;1;32
2292;1;1;1;14
2292;1;1;1;25
2702;1;0;1;31
2702;1;1;1;25
2702;1;1;1;29
2702;1;1;1;12
2702;1;1;1;38
2702;1;1;1;14
2702;1;0;1;39
2702;1;1;0;18
2702;1;0;1;28
2702;1;1;1;3
2702;1;0;1;32
2702;1;0;1;27
2702;1;1;1;10
2913;1;0;1;3
2913;1;1;1;14
2913;1;1;1;18
2913;1;1;1;10
2913;1;1;0;29
2913;1;0;1;27
2913;1;1;1;31
2913;1;1;1;25
2913;1;1;1;28
2913;1;1;1;32
2913;1;1;1;38
2913;1;1;1;12
2913;1;0;1;39
3145;1;1;1;25
3145;1;0;1;38
3145;1;1;1;3
3145;1;0;1;10
3145;1;0;1;29
3145;1;1;1;18
3145;1;0;1;31
3145;1;1;1;28
3145;1;0;1;32
3145;1;1;1;14
3145;1;1;1;39
