"subject";"index";"acceptability";"idnumber";"condition"
16;23;4;17;"EAC"
16;24;6;3;"EAC"
16;25;6;10;"EAC"
16;26;0;10;"EIC"
16;27;3;19;"EAC"
16;28;0;18;"EIC"
16;29;0;12;"EIC"
16;30;0;20;"EIC"
16;31;0;7;"EIC"
16;32;5;14;"EAC"
16;33;6;8;"EAC"
16;34;0;19;"EIC"
16;35;6;18;"EAC"
16;36;0;6;"EIC"
16;37;6;6;"EAC"
16;38;5;13;"EAC"
16;39;6;12;"EAC"
16;40;0;1;"EIC"
17;1;0;6;"EIC"
17;2;1;2;"EIC"
17;3;6;10;"EAC"
17;4;5;5;"EAC"
17;5;1;9;"EIC"
17;6;0;12;"EIC"
17;7;6;7;"EAC"
17;8;5;14;"EAC"
17;9;6;4;"EAC"
17;10;6;11;"EAC"
17;11;6;20;"EAC"
17;12;0;3;"EIC"
17;13;0;17;"EIC"
17;14;1;4;"EIC"
17;15;6;12;"EAC"
17;16;0;1;"EIC"
17;17;0;15;"EIC"
17;18;6;16;"EAC"
17;19;6;17;"EAC"
17;20;6;19;"EAC"
17;21;0;8;"EIC"
17;22;4;18;"EAC"
17;23;0;5;"EIC"
17;24;0;16;"EIC"
17;25;5;6;"EAC"
17;26;0;7;"EIC"
17;27;0;11;"EIC"
17;28;6;9;"EAC"
17;29;6;3;"EAC"
17;30;0;10;"EIC"
17;31;5;2;"EAC"
17;32;0;14;"EIC"
17;33;6;15;"EAC"
17;34;1;19;"EIC"
17;35;0;18;"EIC"
17;36;3;8;"EAC"
17;37;0;20;"EIC"
17;38;6;13;"EAC"
17;39;1;13;"EIC"
17;40;6;1;"EAC"
18;1;5;8;"EAC"
18;2;6;1;"EAC"
18;3;6;18;"EAC"
18;4;6;10;"EAC"
18;5;6;13;"EAC"
18;6;5;19;"EAC"
18;7;5;15;"EAC"
18;8;6;16;"EAC"
18;9;0;12;"EIC"
18;10;6;20;"EAC"
18;11;6;17;"EAC"
18;12;0;7;"EIC"
18;13;0;1;"EIC"
18;14;0;19;"EIC"
18;15;4;3;"EIC"
18;16;0;11;"EIC"
18;17;1;15;"EIC"
18;18;1;18;"EIC"
18;19;6;6;"EAC"
18;20;3;9;"EIC"
18;21;0;8;"EIC"
18;22;6;5;"EAC"
18;23;6;7;"EAC"
18;24;0;20;"EIC"
18;25;5;9;"EAC"
18;26;6;11;"EAC"
18;27;6;4;"EAC"
18;28;0;14;"EIC"
18;29;0;2;"EIC"
18;30;6;3;"EAC"
18;31;0;4;"EIC"
18;32;5;12;"EAC"
18;33;0;13;"EIC"
18;34;5;2;"EAC"
18;35;0;6;"EIC"
18;36;0;5;"EIC"
18;37;0;10;"EIC"
18;38;0;17;"EIC"
18;39;5;14;"EAC"
18;40;0;16;"EIC"
19;1;0;3;"EIC"
19;2;0;5;"EIC"
19;3;6;10;"EAC"
19;4;2;14;"EIC"
19;5;1;4;"EIC"
19;6;0;2;"EIC"
19;7;6;5;"EAC"
19;8;4;12;"EIC"
19;9;3;19;"EAC"
19;10;5;9;"EAC"
19;11;6;20;"EAC"
19;12;0;1;"EIC"
19;13;0;8;"EIC"
19;14;6;7;"EAC"
19;15;0;18;"EIC"
19;16;5;18;"EAC"
19;17;0;17;"EIC"
19;18;0;10;"EIC"
19;19;6;13;"EAC"
19;20;0;13;"EIC"
19;21;0;9;"EIC"
19;22;0;6;"EIC"
19;23;6;11;"EAC"
19;24;0;19;"EIC"
19;25;1;7;"EIC"
19;26;6;15;"EAC"
19;27;6;4;"EAC"
19;28;5;2;"EAC"
19;29;0;16;"EIC"
19;30;0;11;"EIC"
19;31;0;20;"EIC"
19;32;6;8;"EAC"
19;33;0;15;"EIC"
19;34;5;17;"EAC"
19;35;6;16;"EAC"
19;36;6;14;"EAC"
19;37;3;6;"EAC"
19;38;6;3;"EAC"
19;39;5;1;"EAC"
19;40;0;12;"EAC"
20;1;6;15;"EAC"
20;2;0;20;"EIC"
20;3;0;16;"EIC"
20;4;6;12;"EAC"
20;5;0;12;"EIC"
20;6;6;2;"EAC"
20;7;0;15;"EIC"
20;8;0;8;"EIC"
20;9;6;17;"EAC"
20;10;0;14;"EIC"
20;11;6;1;"EAC"
20;12;6;7;"EAC"
20;13;6;3;"EAC"
20;14;1;13;"EIC"
20;15;6;14;"EAC"
20;16;6;11;"EAC"
20;17;0;4;"EIC"
20;18;6;19;"EAC"
20;19;5;8;"EAC"
20;20;0;1;"EIC"
20;21;0;6;"EIC"
20;22;0;18;"EIC"
20;23;4;9;"EAC"
20;24;4;16;"EAC"
20;25;6;4;"EAC"
20;26;6;5;"EAC"
20;27;0;17;"EIC"
20;28;6;10;"EAC"
20;29;0;2;"EIC"
20;30;0;11;"EIC"
20;31;4;6;"EAC"
20;32;6;18;"EAC"
20;33;0;5;"EIC"
20;34;0;3;"EIC"
20;35;6;20;"EAC"
20;36;4;13;"EAC"
20;37;0;9;"EIC"
20;38;0;19;"EIC"
20;39;0;10;"EIC"
20;40;0;7;"EIC"
21;1;0;8;"EIC"
21;2;6;8;"EAC"
21;3;1;18;"EIC"
21;4;6;10;"EAC"
21;5;0;12;"EIC"
21;6;6;13;"EAC"
21;7;0;15;"EIC"
21;8;0;5;"EIC"
21;9;6;18;"EAC"
21;10;4;17;"EAC"
21;11;6;7;"EAC"
21;12;6;14;"EAC"
21;13;0;17;"EIC"
21;14;0;19;"EIC"
21;15;0;9;"EIC"
21;16;1;16;"EIC"
21;17;0;3;"EIC"
21;18;6;15;"EAC"
21;19;0;4;"EIC"
21;20;0;6;"EIC"
21;21;0;13;"EIC"
21;22;6;6;"EAC"
21;23;6;2;"EAC"
21;24;6;16;"EAC"
21;25;0;11;"EIC"
21;26;6;12;"EAC"
21;27;6;3;"EAC"
21;28;0;10;"EIC"
21;29;0;7;"EIC"
21;30;3;11;"EAC"
21;31;0;1;"EIC"
21;32;6;19;"EAC"
21;33;6;9;"EAC"
21;34;6;4;"EAC"
21;35;6;20;"EAC"
21;36;0;2;"EIC"
21;37;6;1;"EAC"
21;38;0;20;"EIC"
21;39;3;5;"EAC"
21;40;0;14;"EIC"
22;1;0;11;"EIC"
22;2;0;9;"EIC"
22;3;5;2;"EAC"
22;4;0;5;"EIC"
22;5;0;2;"EIC"
22;6;0;19;"EIC"
22;7;6;10;"EAC"
22;8;6;7;"EAC"
22;9;2;15;"EIC"
22;10;1;7;"EIC"
22;11;0;20;"EIC"
22;12;0;18;"EIC"
22;13;4;13;"EAC"
22;14;0;4;"EIC"
22;15;6;12;"EAC"
22;16;0;1;"EIC"
22;17;6;4;"EAC"
22;18;6;15;"EAC"
22;19;5;11;"EAC"
22;20;6;16;"EAC"
22;21;3;6;"EAC"
22;22;1;12;"EIC"
22;23;6;14;"EAC"
22;24;6;5;"EAC"
22;25;5;18;"EAC"
22;26;0;13;"EIC"
22;27;0;16;"EIC"
22;28;6;1;"EAC"
22;29;6;17;"EAC"
22;30;6;8;"EAC"
22;31;6;19;"EAC"
22;32;3;10;"EIC"
22;33;0;8;"EIC"
22;34;6;9;"EAC"
22;35;0;17;"EIC"
22;36;0;3;"EIC"
22;37;6;3;"EAC"
22;38;5;20;"EAC"
